1652953222538.921
1652953222570.9126
1652953222570.9126
1652953222570.9126
1652953222570.9126
1652953222570.9126
1652953222570.9126
1652953222578.914
1652953222578.914
1652953222594.9106
1652953222626.9067
1652953222666.902
1652953222666.902
1652953222666.902
1652953222666.902
1652953222666.902
1652953222666.902
1652953222666.902
1652953222666.902
1652953222690.8938
1652953222714.894
1652953222748.4229
1652953222748.4229
rh 	 temp 	 uva 	 uvb 	 x 	 y 	 blueg 	 blueb 	 worn 	 pressure
32.44 	 31.52 	 38.227 	 10.667039999999998 	 194 	 273 	 57 	 46 	 1 	 102808
32.44 	 31.52 	 39.5605 	 11.21232 	 221 	 296 	 65 	 51 	 1 	 102803
32.46 	 31.51 	 39.242999999999995 	 11.26344 	 221 	 296 	 65 	 51 	 1 	 102802
accx 	 accy 	 accz 	 gyrx 	 gyry 	 gyrz 	 magx 	 magy 	 magz 	 roll 	 pitch 	 yaw
-455 	 -805 	 95 	 17.1 	 31.8 	 -16.8 	 350.0 	 -566.5 	 -53.5 	 -33.0 	 29.4 	 253.7
-414 	 -830 	 70 	 18.0 	 32.0 	 -17.5 	 347.0 	 -571.0 	 -49.0 	 -33.1 	 29.5 	 254.1
-380 	 -849 	 45 	 22.0 	 37.0 	 -16.5 	 341.0 	 -575.5 	 -50.5 	 -33.2 	 29.6 	 254.3
-377 	 -853 	 37 	 25.9 	 41.7 	 -14.3 	 335.0 	 -584.5 	 -50.5 	 -33.4 	 29.7 	 254.5
-381 	 -864 	 40 	 28.4 	 45.7 	 -10.8 	 333.5 	 -578.5 	 -56.5 	 -33.5 	 29.9 	 254.7
-387 	 -859 	 45 	 29.6 	 48.1 	 -6.7 	 318.5 	 -586.0 	 -56.5 	 -33.6 	 30.1 	 254.8
-394 	 -857 	 55 	 29.6 	 48.8 	 -2.6 	 314.0 	 -586.0 	 -56.5 	 -33.8 	 30.7 	 255.3
-400 	 -856 	 66 	 28.9 	 47.9 	 0.9 	 315.5 	 -580.0 	 -61.0 	 -33.9 	 31.1 	 255.5
-419 	 -834 	 77 	 27.7 	 46.0 	 3.8 	 311.0 	 -580.0 	 -61.0 	 -33.9 	 31.7 	 255.8
-444 	 -816 	 95 	 23.3 	 41.8 	 6.7 	 312.5 	 -587.5 	 -61.0 	 -34.0 	 32.3 	 256.1
-453 	 -807 	 109 	 17.3 	 36.2 	 9.3 	 308.0 	 -586.0 	 -64.0 	 -34.1 	 32.8 	 256.0
-443 	 -820 	 120 	 11.7 	 30.6 	 11.0 	 309.5 	 -587.5 	 -67.0 	 -34.1 	 33.5 	 256.2
-434 	 -829 	 119 	 6.4 	 25.0 	 8.3 	 306.5 	 -583.0 	 -64.0 	 -34.1 	 33.8 	 255.9
-429 	 -856 	 119 	 3.8 	 22.5 	 4.0 	 302.0 	 -584.5 	 -71.5 	 -34.0 	 34.1 	 255.7
-409 	 -898 	 114 	 1.7 	 19.7 	 -3.3 	 309.5 	 -590.5 	 -71.5 	 -34.0 	 34.3 	 255.3
1652953222820.4124
1652953222820.4124
1652953222820.4124
1652953222820.4124
1652953222820.4124
1652953222820.4124
1652953222820.4124
1652953222836.4119
1652953222836.4119
1652953222844.407
1652953222844.407
1652953222844.407
1652953222852.406
1652953222852.406
1652953222852.406
1652953222868.403
1652953222900.3965
1652953222900.3965
1652953222900.3965
1652953222900.3965
1652953222900.3965
1652953222900.3965
1652953222900.3965
rh 	 temp 	 uva 	 uvb 	 x 	 y 	 blueg 	 blueb 	 worn 	 pressure
32.46 	 31.51 	 39.37 	 11.17824 	 221 	 296 	 65 	 51 	 1 	 102806
32.44 	 31.49 	 37.973 	 10.74372 	 221 	 296 	 65 	 51 	 1 	 102804
32.44 	 31.49 	 38.735 	 11.365680000000001 	 221 	 296 	 65 	 51 	 1 	 102803
accx 	 accy 	 accz 	 gyrx 	 gyry 	 gyrz 	 magx 	 magy 	 magz 	 roll 	 pitch 	 yaw
-387 	 -916 	 104 	 2.7 	 17.4 	 -11.2 	 306.5 	 -583.0 	 -64.0 	 -34.0 	 34.2 	 254.8
-359 	 -907 	 90 	 4.6 	 16.2 	 -18.4 	 302.0 	 -592.0 	 -64.0 	 -33.8 	 33.9 	 254.1
-343 	 -923 	 91 	 6.5 	 15.1 	 -21.7 	 299.0 	 -592.0 	 -76.0 	 -33.8 	 33.6 	 253.4
-328 	 -897 	 90 	 8.0 	 14.6 	 -22.8 	 287.0 	 -593.5 	 -68.5 	 -33.8 	 33.3 	 252.9
-311 	 -906 	 90 	 8.0 	 13.9 	 -21.0 	 288.5 	 -593.5 	 -71.5 	 -33.9 	 32.9 	 252.4
-297 	 -926 	 89 	 8.1 	 13.7 	 -17.8 	 287.0 	 -593.5 	 -73.0 	 -34.0 	 32.6 	 251.9
-288 	 -933 	 80 	 8.3 	 14.0 	 -15.3 	 285.5 	 -592.0 	 -68.5 	 -34.1 	 32.3 	 251.5
-310 	 -923 	 63 	 6.8 	 15.2 	 -12.1 	 273.5 	 -595.0 	 -74.5 	 -34.2 	 32.1 	 251.0
-312 	 -1052 	 52 	 6.1 	 15.9 	 -8.3 	 273.5 	 -599.5 	 -71.5 	 -34.2 	 31.9 	 250.4
-349 	 -1173 	 34 	 9.4 	 19.6 	 -5.5 	 272.0 	 -592.0 	 -74.5 	 -34.3 	 31.9 	 250.1
-419 	 -1180 	 14 	 12.7 	 24.7 	 -5.6 	 267.5 	 -601.0 	 -68.5 	 -34.3 	 31.9 	 249.9
-482 	 -1261 	 0 	 12.4 	 27.9 	 -8.8 	 270.5 	 -592.0 	 -71.5 	 -34.3 	 32.0 	 249.8
-534 	 -1224 	 -13 	 7.7 	 28.7 	 -16.6 	 266.0 	 -599.5 	 -77.5 	 -34.3 	 32.0 	 249.5
-550 	 -1099 	 -40 	 4.3 	 27.5 	 -23.4 	 263.0 	 -595.0 	 -67.0 	 -34.3 	 32.0 	 249.4
-538 	 -1027 	 -60 	 6.7 	 26.6 	 -27.3 	 248.0 	 -595.0 	 -77.5 	 -34.2 	 31.8 	 249.4
1652953223028.377
1652953223036.3748
1652953223044.381
1652953223044.381
1652953223044.381
1652953223052.3699
1652953223052.3699
1652953223052.3699
1652953223052.3699
1652953223052.3699
1652953223092.3643
1652953223092.3643
1652953223092.3643
1652953223092.3643
1652953223092.3643
1652953223092.3643
1652953223100.3643
1652953223100.3643
1652953223100.3643
1652953223100.3643
1652953223100.3643
1652953223100.3643
1652953223100.3643
rh 	 temp 	 uva 	 uvb 	 x 	 y 	 blueg 	 blueb 	 worn 	 pressure
32.29 	 30.01 	 4.1275 	 1.51656 	 374 	 359 	 86 	 85 	 1 	 102802
32.32 	 29.99 	 3.81 	 1.4484 	 374 	 359 	 86 	 85 	 1 	 102805
32.32 	 29.99 	 3.81 	 1.491 	 374 	 359 	 86 	 85 	 1 	 102804
accx 	 accy 	 accz 	 gyrx 	 gyry 	 gyrz 	 magx 	 magy 	 magz 	 roll 	 pitch 	 yaw
-340 	 -944 	 70 	 3.6 	 12.2 	 0.6 	 558.5 	 -464.5 	 -382.0 	 -0.9 	 21.8 	 130.1
-330 	 -951 	 65 	 3.1 	 13.5 	 0.8 	 557.0 	 -467.5 	 -379.0 	 -0.9 	 21.7 	 130.4
-326 	 -936 	 59 	 3.0 	 15.1 	 1.1 	 570.5 	 -472.0 	 -373.0 	 -0.9 	 21.6 	 130.7
-328 	 -931 	 60 	 2.2 	 15.9 	 1.6 	 573.5 	 -463.0 	 -376.0 	 -0.8 	 21.5 	 131.0
-329 	 -982 	 67 	 2.4 	 17.1 	 2.3 	 569.0 	 -460.0 	 -364.0 	 -0.7 	 21.4 	 131.3
-332 	 -1062 	 69 	 3.0 	 17.5 	 2.8 	 570.5 	 -463.0 	 -373.0 	 -0.7 	 21.4 	 131.6
-394 	 -991 	 64 	 0.6 	 17.1 	 1.0 	 569.0 	 -470.5 	 -370.0 	 -0.5 	 21.3 	 132.0
-433 	 -994 	 55 	 -3.7 	 13.9 	 0.9 	 572.0 	 -461.5 	 -362.5 	 -0.4 	 21.4 	 132.2
-479 	 -1148 	 50 	 -6.3 	 10.4 	 0.0 	 572.0 	 -467.5 	 -364.0 	 -0.2 	 21.4 	 132.5
-535 	 -1080 	 30 	 -7.7 	 7.8 	 -3.5 	 567.5 	 -470.5 	 -364.0 	 0.0 	 21.3 	 132.7
-581 	 -1075 	 24 	 -8.1 	 4.7 	 -4.9 	 573.5 	 -464.5 	 -365.5 	 0.1 	 21.2 	 132.7
